Id,OverallQual,YearBuilt,TotalBsmtSF,GrLivArea,FullBath,GarageCars,SaleType
2831,7,2005,1208,1208,2,2,WD
2832,6,2006,1836,1846,2,2,New
2833,8,2005,1570,1590,2,3,New
2834,7,2005,945,1809,2,2,New
2835,7,2005,1614,1614,2,2,WD
2836,7,2005,784,1596,2,2,WD
2837,6,1968,1388,1388,2,2,COD
2838,5,1996,1100,1100,1,2,WD
2839,6,1995,781,1499,2,2,WD
2840,7,1998,1425,1425,2,2,WD
2841,7,1999,842,1749,2,2,WD
2842,7,1999,951,1779,2,2,WD
2843,6,1977,675,1388,1,1,WD
2844,6,1978,995,1282,2,3,WD
2845,5,1972,864,864,1,1,WD
2846,7,2002,826,1762,2,2,WD
2847,6,1999,840,1755,2,2,WD
2848,8,2002,1348,1358,1,2,WD
2849,7,2002,872,1909,2,2,WD
2850,8,1999,1090,2214,2,3,WD
2851,7,1996,1065,2049,2,2,WD
2852,7,1998,1054,1939,2,3,WD
2853,7,1995,930,1995,2,2,WD
2854,6,2003,848,848,1,2,WD
2855,7,2003,1390,1390,2,2,WD
2856,7,2006,851,1737,2,2,New
2857,7,2005,784,1611,2,2,WD
2858,7,2005,1336,1336,2,2,New
2859,4,1910,676,1436,2,2,WD
2860,6,1975,976,1012,2,0,WD
2861,5,1969,1176,1176,1,1,WD
2862,7,2003,796,1724,2,2,WD
2863,6,2002,914,914,1,0,WD
2864,7,2003,1150,2314,2,2,ConLD
2865,6,2005,547,1072,1,2,New
2866,7,2004,970,1709,2,2,WD
2867,4,1948,624,936,1,1,WD
2868,6,1915,832,1338,2,2,WD
2869,4,1924,1093,1669,1,1,WD
2870,4,1954,954,1482,2,2,WD
2871,4,1922,864,1414,1,0,COD
2872,2,1922,498,498,1,1,ConLD
2873,4,1910,616,1273,1,1,WD
2874,5,1938,1058,1551,2,1,WD
2875,6,1945,780,1340,1,1,WD
2876,7,1926,624,1479,1,1,WD
2877,6,1920,755,1510,1,1,WD
2878,7,1919,818,1636,1,1,WD
2879,5,1939,992,1465,2,1,WD
2880,5,1941,824,1288,1,1,WD
2881,6,1920,817,1550,1,1,WD
2882,5,1940,901,1717,1,1,WD
2883,7,1929,1022,1671,2,2,WD
2884,7,1932,637,1609,1,3,WD
2885,6,1930,697,1801,1,2,WD
2886,5,1950,1168,2315,2,1,WD
2887,5,1942,976,976,1,1,WD
2888,6,1926,861,1285,1,2,WD
2889,4,1925,432,672,1,0,WD
2890,4,1925,641,641,1,1,WD
2891,6,1957,967,1638,2,1,WD
2892,3,1945,0,729,1,0,WD
2893,5,1951,660,1396,2,0,WD
2894,3,1916,216,936,1,0,WD
2895,8,2005,1573,1778,2,2,New
2896,8,2004,1594,1646,2,2,WD
2897,6,1979,1625,1625,2,2,WD
2898,6,1978,1664,1664,2,2,WD
2899,8,2001,1491,1491,2,2,WD
2900,6,1975,1128,1210,2,2,WD
2901,6,1958,1632,1650,1,2,WD
2902,6,2000,1381,1403,2,2,WD
2903,8,2005,1728,1960,2,3,New
2904,9,2005,1838,1838,2,3,New
2905,1,1951,0,1600,1,1,WD
2906,7,1997,1288,1368,2,4,WD
2907,5,1977,264,1304,1,1,WD
2908,5,1968,864,874,1,1,WD
2909,5,1970,1652,1652,2,3,WD
2910,4,1970,630,630,1,0,WD
2911,4,1972,546,1092,1,1,WD
2912,5,1969,1104,1360,1,1,WD
2913,4,1970,546,1092,1,1,WD
2914,4,1970,546,1092,1,0,WD
2915,4,1970,546,1092,1,0,WD
2916,4,1970,546,1092,1,1,WD
2917,5,1960,1224,1224,1,2,WD
2918,5,1992,912,970,1,0,WD
2919,7,1993,996,2000,2,3,WD
